date,flight_id,route,aircraft_type,scheduled_hour,crew_duty_hours,weather_forecast_18h,weather_actual,atc_slot_delay_min,delayed
2024-11-19,CZ3009,PVG-PEK,A330,8,13.0,2.28,1.63,0,0
2025-08-14,CZ3054,PVG-CAN,B787,13,9.3,1.93,1.89,0,0
2024-12-20,CZ3053,PVG-XIY,B737,17,7.3,1.96,3.0,33,1
2026-08-21,CZ3029,PVG-CKG,A320,10,6.4,-0.45,0.48,0,0
2026-01-19,CZ3068,PVG-NKG,B737,17,5.3,-1.26,-1.93,0,0
2026-06-07,CZ3036,PVG-CAN,A330,16,9.1,0.91,-0.95,0,0
2024-11-01,CZ3077,PVG-SZX,A320,13,7.8,0.76,2.18,16,1
2025-08-13,CZ3034,PVG-CTU,B737,6,7.9,0.15,-1.51,0,0
2025-03-17,CZ3048,PVG-PEK,A321,14,11.4,1.2,-0.4,0,0
2025-06-02,CZ3031,PVG-CTU,B737,9,5.7,-1.19,0.33,0,0
2025-04-25,CZ3081,PVG-SZX,B787,9,7.4,0.59,0.59,0,0
2026-01-21,CZ3050,PVG-SZX,A321,7,5.7,-0.26,-1.4,0,0
2026-05-28,CZ3008,PVG-KMG,B787,15,8.6,-1.32,-1.19,0,0
2026-05-05,CZ3071,PVG-XIY,B737,11,3.7,0.64,1.6,0,0
2025-02-20,CZ3025,PVG-PEK,B737,16,7.3,-0.76,0.7,0,0
2026-03-12,CZ3079,PVG-WUH,B787,11,5.1,-0.4,-2.58,0,0
2025-04-20,CZ3020,PVG-SZX,B787,20,4.3,1.67,1.13,0,1
2025-08-16,CZ3043,PVG-KMG,A330,10,4.4,0.91,1.72,0,0
2025-11-17,CZ3023,PVG-KMG,A320,10,7.1,0.52,2.44,0,0
2026-02-24,CZ3050,PVG-PEK,A320,8,10.6,0.08,0.91,11,1
2025-02-14,CZ3091,PVG-CAN,A320,6,8.3,0.06,-0.96,0,0
2025-08-30,CZ3008,PVG-SZX,A320,10,8.5,1.0,1.45,0,0
2025-03-16,CZ3092,PVG-CTU,B787,7,7.1,0.13,0.9,0,0
2025-09-16,CZ3011,PVG-NKG,A321,15,7.2,-0.59,0.91,0,0
2024-10-09,CZ3012,PVG-CSX,A320,8,8.1,0.67,-0.73,0,0
2026-06-11,CZ3103,PVG-WUH,A321,19,8.7,-0.26,-0.67,0,0
2025-04-14,CZ3072,PVG-KMG,A320,8,2.1,-0.45,0.96,0,0
2025-08-20,CZ3003,PVG-XIY,B787,18,4.7,1.03,2.05,0,0
2026-07-29,CZ3045,PVG-HGH,A320,21,7.3,0.29,3.0,0,0
2025-06-22,CZ3058,PVG-CAN,A321,16,6.8,0.53,-0.44,0,0
2026-05-11,CZ3041,PVG-KMG,A330,10,7.1,-0.2,-0.97,0,0
2025-07-05,CZ3045,PVG-NKG,B787,22,9.0,0.71,2.99,0,0
2026-06-26,CZ3036,PVG-HGH,A320,19,8.2,0.84,-0.32,0,0
2026-06-10,CZ3046,PVG-PEK,B737,14,9.6,-1.84,-0.36,0,0
2025-05-27,CZ3090,PVG-KMG,B737,21,9.3,0.07,1.09,4,0
2025-05-18,CZ3055,PVG-NKG,B737,10,9.0,0.75,0.14,0,0
2025-03-14,CZ3023,PVG-CKG,A321,8,7.4,0.36,1.34,26,1
2026-02-26,CZ3110,PVG-CTU,A321,14,4.7,-1.03,-1.62,0,0
2026-08-22,CZ3070,PVG-KMG,A320,14,4.9,0.55,0.65,0,0
2024-11-12,CZ3000,PVG-KMG,B737,17,8.8,-0.84,-0.03,0,0
2026-06-08,CZ3026,PVG-TSN,B737,19,6.8,-0.85,-1.89,5,0
2025-12-10,CZ3116,PVG-CKG,A320,10,3.3,-0.26,-1.04,0,0
2025-08-15,CZ3109,PVG-TSN,B737,9,8.0,-0.08,-0.1,0,0
2025-04-28,CZ3083,PVG-SZX,A321,20,10.1,0.35,1.15,0,0
2026-07-27,CZ3063,PVG-XIY,B787,17,8.2,1.0,2.14,0,0
2025-09-30,CZ3018,PVG-TSN,B737,8,9.1,0.21,-0.57,0,0
2026-02-05,CZ3072,PVG-PEK,A321,18,8.9,-1.11,-1.49,0,0
2025-02-22,CZ3003,PVG-KMG,B787,6,6.5,-1.93,-1.78,0,0
2025-07-18,CZ3095,PVG-KMG,B787,10,9.1,2.76,1.72,0,0
2025-04-27,CZ3110,PVG-PEK,A320,8,11.0,-0.78,-1.52,0,0
2026-04-16,CZ3077,PVG-CAN,B737,10,6.3,0.48,0.44,0,0
2025-11-05,CZ3041,PVG-TSN,A321,15,6.7,0.6,1.74,27,1
2025-07-01,CZ3087,PVG-CKG,A321,14,8.4,-0.15,-0.84,0,0
2025-12-04,CZ3060,PVG-PEK,B787,18,,0.1,-1.37,35,1
2025-08-21,CZ3111,PVG-NKG,B787,7,6.7,-1.03,0.7,0,0
2026-07-12,CZ3076,PVG-WUH,A321,7,5.3,0.78,1.51,0,0
2025-03-19,CZ3095,PVG-HGH,A321,16,8.0,0.76,-1.11,0,0
2026-08-28,CZ3099,PVG-TSN,B737,9,7.1,0.85,0.97,0,0
2026-05-13,CZ3109,PVG-WUH,A320,7,6.4,-0.77,-1.71,0,0
2025-09-10,CZ3116,PVG-NKG,A330,16,8.1,0.53,0.67,0,0
2026-01-20,CZ3015,PVG-SZX,A330,11,5.7,0.43,0.28,0,0
2024-10-14,CZ3018,PVG-NKG,A330,15,8.3,0.33,-0.76,0,0
2025-03-06,CZ3078,PVG-TSN,B787,14,8.3,-0.69,-0.79,0,0
2026-04-30,CZ3118,PVG-CAN,B737,18,8.6,1.3,0.37,0,0
2025-05-23,CZ3091,PVG-CAN,B737,21,4.9,1.26,1.48,0,0
2026-03-01,CZ3071,PVG-WUH,A321,14,8.5,-1.53,-1.78,0,0
2024-12-14,CZ3066,PVG-WUH,B737,20,5.3,-0.28,0.2,0,0
2025-10-31,CZ3038,PVG-CTU,A321,12,10.4,-1.08,0.29,0,0
2025-09-02,CZ3103,PVG-HGH,A320,21,5.7,-0.62,0.57,0,0
2025-07-05,CZ3054,PVG-PEK,A321,9,3.9,1.63,-0.26,0,0
2025-09-25,CZ3112,PVG-CAN,B737,21,10.9,0.32,1.43,43,1
2024-11-14,CZ3095,PVG-TSN,B787,12,7.4,-0.23,-0.96,0,0
2025-04-29,CZ3100,PVG-WUH,A321,9,7.5,-0.29,-0.5,0,0
2026-01-02,CZ3119,PVG-HGH,A330,6,7.4,-1.05,0.12,3,0
2026-03-06,CZ3065,PVG-CSX,A330,19,4.9,0.93,0.82,0,0
2025-06-12,CZ3101,PVG-CAN,A321,17,9.1,-0.37,0.69,0,0
2025-09-05,CZ3012,PVG-PEK,A320,17,7.2,0.08,1.31,9,1
2025-08-26,CZ3073,PVG-SZX,B737,6,6.6,-1.29,-1.7,0,0
2025-08-31,CZ3119,PVG-XIY,A330,8,9.2,-0.74,-0.24,0,0
2026-08-19,CZ3056,PVG-TSN,A320,16,7.5,-0.28,-0.44,1,0
2025-12-12,CZ3004,PVG-CAN,A320,9,4.8,0.25,0.18,0,0
2026-08-02,CZ3026,PVG-XIY,B737,17,8.8,-0.38,1.4,0,0
2025-08-17,CZ3061,PVG-SZX,A330,17,5.4,-0.03,0.37,0,0
2026-05-16,CZ3093,PVG-CKG,A330,10,7.7,0.73,-0.19,0,0
2026-03-26,CZ3032,PVG-NKG,A321,17,8.4,0.15,0.5,54,1
2024-10-06,CZ3055,PVG-CKG,A330,13,9.1,0.3,1.02,0,0
2025-05-22,CZ3070,PVG-PEK,A321,10,4.9,-1.34,-2.37,0,0
2024-09-27,CZ3047,PVG-TSN,A330,14,9.9,0.28,0.34,0,0
2025-04-21,CZ3031,PVG-CAN,A320,9,6.2,-0.62,-0.98,4,0
2026-05-20,CZ3058,PVG-XIY,A330,13,4.8,-0.14,1.22,0,0
2026-06-25,CZ3000,PVG-TSN,A330,7,5.1,-0.83,-0.75,0,0
2026-08-16,CZ3108,PVG-CSX,A321,17,11.1,-0.14,1.16,4,0
2026-02-27,CZ3046,PVG-PEK,A320,12,8.9,0.23,-0.48,1,0
2025-08-22,CZ3048,PVG-HGH,B787,18,8.4,0.3,2.12,0,0
2025-12-28,CZ3091,PVG-SZX,B737,7,6.6,-0.4,-0.42,0,0
2026-05-14,CZ3110,PVG-SZX,A320,15,8.3,1.2,2.99,20,1
2025-05-04,CZ3009,PVG-TSN,A330,20,4.8,0.98,2.45,0,1
2026-05-09,CZ3065,PVG-CAN,A330,7,8.8,-0.46,-0.02,0,0
2025-03-02,CZ3041,PVG-PEK,B737,8,9.0,1.49,2.41,27,1
2025-01-29,CZ3015,PVG-PEK,B787,19,5.6,-0.17,-0.93,0,0
2025-11-23,CZ3058,PVG-NKG,A320,6,10.5,0.67,1.14,0,0
2025-11-11,CZ3104,PVG-CAN,A321,14,7.1,0.87,-0.83,0,0
2026-02-01,CZ3001,PVG-TSN,B737,8,4.5,-1.32,-2.92,0,0
2025-01-28,CZ3110,PVG-TSN,A320,7,9.5,-0.41,-0.23,26,1
2025-04-28,CZ3114,PVG-XIY,B737,8,5.6,-2.76,-2.23,0,0
2026-05-29,CZ3056,PVG-SZX,A330,20,7.7,1.24,1.0,23,1
2025-06-07,CZ3103,PVG-KMG,A321,8,5.5,-1.28,-0.6,0,0
2025-02-05,CZ3025,PVG-SZX,B737,10,8.8,0.02,-0.1,34,1
2025-08-18,CZ3100,PVG-CTU,B787,8,7.1,-1.35,-2.02,0,0
2025-11-10,CZ3089,PVG-SZX,A320,10,5.5,-0.89,-1.78,0,0
2026-04-22,CZ3088,PVG-CSX,A320,9,7.1,-1.28,-0.54,0,0
2025-01-11,CZ3019,PVG-CKG,B737,7,7.8,0.5,1.09,0,0
2025-07-24,CZ3028,PVG-PEK,A320,19,9.7,-1.32,-2.37,0,0
2024-09-19,CZ3064,PVG-KMG,B737,20,7.4,-1.84,-1.97,0,0
2026-02-14,CZ3044,PVG-CAN,A330,10,9.9,-0.87,0.25,0,0
2026-07-05,CZ3046,PVG-CTU,A320,9,8.3,2.13,3.0,0,0
2026-01-12,CZ3049,PVG-XIY,B787,20,6.4,1.35,2.76,1,0
2025-03-02,CZ3044,PVG-CSX,B737,16,5.3,-1.75,-2.71,0,0
2025-05-30,CZ3021,PVG-HGH,B787,15,7.9,0.6,0.64,18,1
2025-07-16,CZ3065,PVG-KMG,A321,10,7.9,0.05,-0.46,0,0
2025-10-17,CZ3074,PVG-CAN,A320,19,10.7,-1.12,-3.0,0,0
2025-11-09,CZ3071,PVG-CSX,A330,10,6.3,2.19,1.6,0,0
2026-03-31,CZ3067,PVG-KMG,A330,21,9.9,0.61,0.52,0,0
2025-01-15,CZ3028,PVG-SZX,B787,13,8.3,1.22,1.7,0,0
2025-02-20,CZ3009,PVG-CKG,A321,11,10.7,-1.62,-1.5,23,1
2025-11-30,CZ3087,PVG-KMG,B787,9,,0.8,0.34,0,0
2024-10-01,CZ3073,PVG-NKG,B787,20,8.9,0.46,-0.7,0,0
